id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,clave_partido
1490,1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,1930-07-13_Belgium_United States
1491,1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,1930-07-13_France_Mexico
1492,1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True,1930-07-14_Brazil_Yugoslavia
1493,1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,1930-07-14_Peru_Romania
1494,1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,1930-07-15_Argentina_France
1495,1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True,1930-07-16_Chile_Mexico
1496,1930-07-17,Bolivia,Yugoslavia,0,4,FIFA World Cup,Montevideo,Uruguay,True,1930-07-17_Bolivia_Yugoslavia
1497,1930-07-17,Paraguay,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,1930-07-17_Paraguay_United States
1499,1930-07-18,Uruguay,Peru,1,0,FIFA World Cup,Montevideo,Uruguay,False,1930-07-18_Uruguay_Peru
1500,1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True,1930-07-19_Argentina_Mexico
1501,1930-07-19,Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,1930-07-19_Chile_France
1502,1930-07-20,Belgium,Paraguay,0,1,FIFA World Cup,Montevideo,Uruguay,True,1930-07-20_Belgium_Paraguay
1503,1930-07-20,Bolivia,Brazil,0,4,FIFA World Cup,Montevideo,Uruguay,True,1930-07-20_Bolivia_Brazil
1504,1930-07-21,Uruguay,Romania,4,0,FIFA World Cup,Montevideo,Uruguay,False,1930-07-21_Uruguay_Romania
1505,1930-07-22,Argentina,Chile,3,1,FIFA World Cup,Montevideo,Uruguay,True,1930-07-22_Argentina_Chile
1507,1930-07-26,Argentina,United States,6,1,FIFA World Cup,Montevideo,Uruguay,True,1930-07-26_Argentina_United States
1508,1930-07-27,Uruguay,Yugoslavia,6,1,FIFA World Cup,Montevideo,Uruguay,False,1930-07-27_Uruguay_Yugoslavia
1509,1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup,Montevideo,Uruguay,False,1930-07-30_Uruguay_Argentina
1877,1934-05-27,Argentina,Sweden,2,3,FIFA World Cup,Bologna,Italy,True,1934-05-27_Argentina_Sweden
1878,1934-05-27,Austria,France,3,2,FIFA World Cup,Turin,Italy,True,1934-05-27_Austria_France
1879,1934-05-27,Belgium,Germany,2,5,FIFA World Cup,Florence,Italy,True,1934-05-27_Belgium_Germany
1880,1934-05-27,Brazil,Spain,1,3,FIFA World Cup,Genoa,Italy,True,1934-05-27_Brazil_Spain
